isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
704,PROCTOR PUBLIC SCHOOL DISTRICT,St. Louis County,1868,3,0.2,FOUND_MED_POLICY_ONLY,Suburb,0
31,BEMIDJI PUBLIC SCHOOL DISTRICT,Beltrami County,4874,7,0.1,NOT_VERIFIABLE,Town,0
318,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,Itasca County,4057,3,0.1,FOUND_SEIZURE_SPECIFIC,Rural,1
712,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,St. Louis County,560,,,FOUND_MED_POLICY_ONLY,Town,0
2135,MAPLE RIVER SCHOOL DISTRICT,Blue Earth County,889,,,FOUND_MED_POLICY_ONLY,Rural,0
2137,KINGSLAND PUBLIC SCHOOL DISTRICT,Fillmore County,524,,,FOUND_MED_POLICY_ONLY,Rural,0
2142,ST. LOUIS COUNTY SCHOOL DISTRICT,St. Louis County,2014,,,FOUND_MED_POLICY_ONLY,Rural,0
2198,FILLMORE CENTRAL,Fillmore County,589,,,NOT_FOUND,Rural,0
2215,NORMAN COUNTY EAST SCHOOL DISTRICT,Norman County,209,,,FOUND_MED_POLICY_ONLY,Rural,0
2311,CLEARBROOK-GONVICK SCHOOL DISTRICT,Clearwater County,447,,,FOUND_SEIZURE_SPECIFIC,Rural,1
2683,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,Roseau County,229,,,FOUND_MED_POLICY_ONLY,Rural,0
2754,CEDAR MOUNTAIN SCHOOL DISTRICT,Redwood County,440,,,FOUND_MED_POLICY_ONLY,Rural,0
2854,ADA-BORUP PUBLIC SCHOOL DISTRICT,Norman County,,,,,,
2856,STEPHEN-ARGYLE CENTRAL SCHOOLS,Marshall County,298,,,FOUND_MED_POLICY_ONLY,Rural,0
2886,GLENVILLE-EMMONS SCHOOL DISTRICT,Freeborn County,208,,,FOUND_MED_POLICY_ONLY,Rural,0
2889,LAKE PARK AUDUBON SCHOOL DISTRICT,Becker County,736,,,FOUND_MED_POLICY_ONLY,Rural,0
2897,REDWOOD AREA SCHOOL DISTRICT,Redwood County,1119,,,FOUND_MED_POLICY_ONLY,Town,0
2908,BRANDON-EVANSVILLE PUBLIC SCHOOLS,Douglas County,524,,,FOUND_MED_POLICY_ONLY,Rural,0
2906,RED LAKE COUNTY CENTRAL PUBLIC SCH,Red Lake County,384,,,FOUND_MED_POLICY_ONLY,Rural,0
1,AITKIN PUBLIC SCHOOL DISTRICT,Aitkin County,1054,,,FOUND_MED_POLICY_ONLY,Rural,0
113,WALKER-HACKENSACK-AKELEY SCHL. DIST,Cass County,756,,,FOUND_MED_POLICY_ONLY,Rural,0
242,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Freeborn County,442,,,FOUND_MED_POLICY_ONLY,Rural,0
261,ASHBY PUBLIC SCHOOL DISTRICT,Grant County,318,,,FOUND_MED_POLICY_ONLY,Rural,0
676,BADGER PUBLIC SCHOOL DISTRICT,Roseau County,224,,,FOUND_MED_POLICY_ONLY,Rural,0
162,BAGLEY PUBLIC SCHOOL DISTRICT,Clearwater County,935,,,FOUND_MED_POLICY_ONLY,Rural,0
146,BARNESVILLE PUBLIC SCHOOL DIST.,Clay County,898,,,FOUND_MED_POLICY_ONLY,Rural,0
91,BARNUM PUBLIC SCHOOL DISTRICT,Carlton County,708,,,NOT_VERIFIABLE,Rural,0
542,BATTLE LAKE PUBLIC SCHOOL DISTRICT,Otter Tail County,404,,,FOUND_MED_POLICY_ONLY,Rural,0
786,BERTHA-HEWITT PUBLIC SCHOOL DIST.,Todd County,522,,,FOUND_MED_POLICY_ONLY,Rural,0
32,BLACKDUCK PUBLIC SCHOOL DISTRICT,Beltrami County,690,,,FOUND_MED_POLICY_ONLY,Rural,0
314,BRAHAM PUBLIC SCHOOL DISTRICT,Isanti County,734,,,FOUND_MED_POLICY_ONLY,Rural,0
801,Browns Valley Public School Dist,Traverse County,173,,,NOT_FOUND,Rural,0
299,CALEDONIA PUBLIC SCHOOL DISTRICT,Houston County,732,,,FOUND_MED_POLICY_ONLY,Rural,0
891,CANBY PUBLIC SCHOOL DISTRICT,Yellow Medicine County,590,,,NOT_VERIFIABLE,Rural,0
93,CARLTON PUBLIC SCHOOL DISTRICT,Carlton County,384,,,FOUND_MED_POLICY_ONLY,Town,0
115,CASS LAKE-BENA PUBLIC SCHOOLS,Cass County,1165,,,FOUND_MED_POLICY_ONLY,Rural,0
227,CHATFIELD PUBLIC SCHOOLS,Olmsted County,897,,,FOUND_SEIZURE_SPECIFIC,Rural,1
323,FRANCONIA PUBLIC SCHOOL DISTRICT,Washington County,,,,NOT_VERIFIABLE,Rural,0
695,CHISHOLM PUBLIC SCHOOL DISTRICT,St. Louis County,688,,,FOUND_MED_POLICY_ONLY,Town,0
771,Chokio-Alberta Public Schools,Stevens County,153,,,FOUND_MED_POLICY_ONLY,Rural,0
391,CLEVELAND PUBLIC SCHOOL DISTRICT,Le Sueur County,559,,,FOUND_MED_POLICY_ONLY,Rural,0
592,CLIMAX-SHELLY PUBLIC SCHOOLS,Polk County,186,,,FOUND_MED_POLICY_ONLY,Rural,0
316,GREENWAY PUBLIC SCHOOL DISTRICT,Itasca County,1066,,,FOUND_MED_POLICY_ONLY,Rural,0
81,COMFREY PUBLIC SCHOOL DISTRICT,Brown County,131,,,FOUND_MED_POLICY_ONLY,Rural,0
95,CROMWELL-WRIGHT PUBLIC SCHOOLS,Carlton County,310,,,FOUND_MED_POLICY_ONLY,Rural,0
182,CROSBY-IRONTON PUBLIC SCHOOL DIST.,Crow Wing County,1007,,,FOUND_MED_POLICY_ONLY,Rural,0
317,DEER RIVER PUBLIC SCHOOL DISTRICT,Itasca County,901,,,FOUND_MED_POLICY_ONLY,Rural,0
514,ELLSWORTH PUBLIC SCHOOL DISTRICT,Nobles County,146,,,FOUND_MED_POLICY_ONLY,Rural,0
696,ELY PUBLIC SCHOOL DISTRICT,St. Louis County,508,,,FOUND_MED_POLICY_ONLY,Rural,0
599,FERTILE-BELTRAMI SCHOOL DISTRICT,Polk County,488,,,FOUND_MED_POLICY_ONLY,Rural,0
600,FISHER PUBLIC SCHOOL DISTRICT,Polk County,229,,,FOUND_MED_POLICY_ONLY,Rural,0
698,FLOODWOOD PUBLIC SCHOOL DISTRICT,St. Louis County,165,,,FOUND_MED_POLICY_ONLY,Rural,0
51,FOLEY PUBLIC SCHOOL DISTRICT,Benton County,1960,,,FOUND_MED_POLICY_ONLY,Rural,0
601,FOSSTON PUBLIC SCHOOL DISTRICT,Polk County,591,,,FOUND_MED_POLICY_ONLY,Rural,0
23,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,Becker County,866,,,FOUND_MED_POLICY_ONLY,Rural,0
561,GOODRIDGE PUBLIC SCHOOL DISTRICT,Pennington County,268,,,FOUND_MED_POLICY_ONLY,Rural,0
495,GRAND MEADOW PUBLIC SCHOOL DISTRICT,Mower County,466,,,FOUND_MED_POLICY_ONLY,Rural,0
203,HAYFIELD PUBLIC SCHOOL DISTRICT,Dodge County,667,,,FOUND_MED_POLICY_ONLY,Rural,0
402,HENDRICKS PUBLIC SCHOOL DISTRICT,Lincoln County,166,,,FOUND_MED_POLICY_ONLY,Rural,0
264,HERMAN-NORCROSS SCHOOL DISTRICT,Grant County,96,,,FOUND_MED_POLICY_ONLY,Rural,0
701,HIBBING PUBLIC SCHOOL DISTRICT,St. Louis County,2190,,,NOT_FOUND,Town,0
2,HILL CITY PUBLIC SCHOOL DISTRICT,Aitkin County,246,,,FOUND_MED_POLICY_ONLY,Rural,0
361,INTERNATIONAL FALLS SCHOOL DISTRICT,Koochiching County,899,,,FOUND_MED_POLICY_ONLY,Town,0
473,ISLE PUBLIC SCHOOL DISTRICT,Mille Lacs County,434,,,FOUND_MED_POLICY_ONLY,Rural,0
403,IVANHOE PUBLIC SCHOOL DISTRICT,Lincoln County,83,,,FOUND_MED_POLICY_ONLY,Rural,0
815,PRINSBURG PUBLIC SCHOOL DISTRICT,Kandiyohi County,,,,NOT_VERIFIABLE,Rural,0
36,KELLIHER PUBLIC SCHOOL DISTRICT,Beltrami County,297,,,FOUND_MED_POLICY_ONLY,Rural,0
739,KIMBALL PUBLIC SCHOOL DISTRICT,Stearns County,751,,,FOUND_MED_POLICY_ONLY,Rural,0
404,LAKE BENTON PUBLIC SCHOOL DISTRICT,Lincoln County,120,,,FOUND_MED_POLICY_ONLY,Rural,0
390,LAKE OF THE WOODS SCHOOL DISTRICT,Lake of the Woods County,473,,,FOUND_MED_POLICY_ONLY,Rural,0
356,LANCASTER PUBLIC SCHOOL DISTRICT,Kittson County,185,,,NOT_VERIFIABLE,Rural,0
229,LANESBORO PUBLIC SCHOOL DISTRICT,Fillmore County,417,,,NOT_FOUND,Rural,0
306,Laporte Public School District,Hubbard County,333,,,FOUND_MED_POLICY_ONLY,Rural,0
362,LITTLEFORK-BIG FALLS SCHOOL DIST.,Koochiching County,338,,,NOT_VERIFIABLE,Rural,0
238,Mabel-Canton Public School District,Fillmore County,265,,,FOUND_MED_POLICY_ONLY,Rural,0
432,MAHNOMEN PUBLIC SCHOOL DISTRICT,Mahnomen County,701,,,FOUND_MED_POLICY_ONLY,Rural,0
447,GRYGLA PUBLIC SCHOOL DISTRICT,Marshall County,134,,,NOT_FOUND,Rural,0
2448,MARTIN COUNTY WEST SCHOOL DISTRICT,Martin County,674,,,FOUND_MED_POLICY_ONLY,Rural,0
4,MCGREGOR PUBLIC SCHOOL DISTRICT,Aitkin County,457,,,FOUND_MED_POLICY_ONLY,Rural,0
821,MENAHGA PUBLIC SCHOOL DISTRICT,Wadena County,989,,,FOUND_MED_POLICY_ONLY,Rural,0
635,MILROY PUBLIC SCHOOL DISTRICT,Redwood County,36,,,FOUND_SEIZURE_SPECIFIC,Rural,1
97,MOOSE LAKE PUBLIC SCHOOL DISTRICT,Carlton County,574,,,FOUND_MED_POLICY_ONLY,Rural,0
319,NASHWAUK-KEEWATIN SCHOOL DISTRICT,Itasca County,599,,,NOT_VERIFIABLE,Rural,0
308,NEVIS PUBLIC SCHOOL DISTRICT,Hubbard County,579,,,FOUND_MED_POLICY_ONLY,Rural,0
553,NEW YORK MILLS PUBLIC SCHOOL DIST.,Otter Tail County,785,,,FOUND_MED_POLICY_ONLY,Rural,0
441,MARSHALL COUNTY CENTRAL SCHOOLS,Marshall County,440,,,NOT_VERIFIABLE,Rural,0
507,NICOLLET PUBLIC SCHOOL DISTRICT,Nicollet County,362,,,FOUND_MED_POLICY_ONLY,Rural,0
333,OGILVIE PUBLIC SCHOOL DISTRICT,Kanabec County,526,,,FOUND_MED_POLICY_ONLY,Rural,0
480,ONAMIA PUBLIC SCHOOL DISTRICT,Mille Lacs County,561,,,FOUND_SEIZURE_SPECIFIC,Rural,1
547,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,Otter Tail County,544,,,FOUND_MED_POLICY_ONLY,Rural,0
116,PILLAGER PUBLIC SCHOOL DISTRICT,Cass County,1228,,,FOUND_SEIZURE_SPECIFIC,Rural,1
25,PINE POINT PUBLIC SCHOOL DISTRICT,Becker County,72,,,FOUND_MED_POLICY_ONLY,Rural,0
195,RANDOLPH PUBLIC SCHOOL DISTRICT,Dakota County,769,,,FOUND_MED_POLICY_ONLY,Rural,0
630,RED LAKE FALLS PUBLIC SCHOOL DIST.,Red Lake County,381,,,NOT_FOUND,Rural,0
38,RED LAKE PUBLIC SCHOOL DISTRICT,Beltrami County,1467,,,NOT_VERIFIABLE,Rural,0
118,NORTHLAND COMMUNITY SCHOOLS,Cass County,361,,,FOUND_MED_POLICY_ONLY,Rural,0
850,ROTHSAY PUBLIC SCHOOL DISTRICT,Wilkin County,309,,,FOUND_MED_POLICY_ONLY,Rural,0
485,ROYALTON PUBLIC SCHOOL DISTRICT,Morrison County,932,,,FOUND_SEIZURE_SPECIFIC,Rural,1
820,SEBEKA PUBLIC SCHOOL DISTRICT,Wadena County,450,,,FOUND_SEIZURE_SPECIFIC,Rural,1
297,SPRING GROVE SCHOOL DISTRICT,Houston County,345,,,FOUND_MED_POLICY_ONLY,Rural,0
85,SPRINGFIELD PUBLIC SCHOOL DISTRICT,Brown County,574,,,FOUND_SEIZURE_SPECIFIC,Rural,1
75,ST. CLAIR PUBLIC SCHOOL DISTRICT,Blue Earth County,762,,,FOUND_MED_POLICY_ONLY,Rural,0
707,NETT LAKE PUBLIC SCHOOL DISTRICT,St. Louis County,40,,,FOUND_MED_POLICY_ONLY,Rural,0
99,ESKO PUBLIC SCHOOL DISTRICT,Carlton County,1275,,,FOUND_SEIZURE_SPECIFIC,Town,1
458,TRUMAN PUBLIC SCHOOL DISTRICT,Martin County,253,,,FOUND_MED_POLICY_ONLY,Rural,0
914,ULEN-HITTERDAL PUBLIC SCHOOL DIST,Clay County,279,,,FOUND_MED_POLICY_ONLY,Rural,0
487,UPSALA PUBLIC SCHOOL DISTRICT,Morrison County,363,,,NOT_VERIFIABLE,Rural,0
640,WABASSO PUBLIC SCHOOL DISTRICT,Redwood County,399,,,FOUND_SEIZURE_SPECIFIC,Rural,1
435,Waubun-Ogema-White Earth Schools,Mahnomen County,699,,,FOUND_MED_POLICY_ONLY,Rural,0
577,WILLOW RIVER PUBLIC SCHOOL DISTRICT,Pine County,423,,,FOUND_MED_POLICY_ONLY,Rural,0
2071,LAKE CRYSTAL-WELLCOME MEMORIAL,Blue Earth County,959,,,FOUND_SEIZURE_SPECIFIC,Rural,1
2358,TRI-COUNTY SCHOOL DISTRICT,Kittson County,197,,,NOT_FOUND,Rural,0
2527,NORMAN COUNTY WEST SCHOOL DISTRICT,Norman County,,,,,,
2609,WIN-E-MAC SCHOOL DISTRICT,Polk County,430,,,FOUND_SEIZURE_SPECIFIC,Rural,1
2711,MESABI EAST SCHOOL DISTRICT,St. Louis County,904,,,FOUND_MED_POLICY_ONLY,Rural,0
2835,JANESVILLE-WALDORF-PEMBERTON,Waseca County,704,,,FOUND_SEIZURE_SPECIFIC,Rural,1
