isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
282,ST. ANTHONY-NEW BRIGHTON SCHOOLS,Hennepin County,1782,146,8.2,FOUND_MED_POLICY_ONLY,Suburb,0
272,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Hennepin County,8861,722,8.1,FOUND_SEIZURE_SPECIFIC,City,1
2769,MORRIS AREA PUBLIC SCHOOLS,Stevens County,1046,84,8.0,FOUND_SEIZURE_SPECIFIC,Rural,1
283,ST. LOUIS PARK PUBLIC SCHOOL DIST.,Hennepin County,4581,367,8.0,FOUND_MED_POLICY_ONLY,City,0
415,LYND PUBLIC SCHOOL DISTRICT,Lyon County,164,13,7.9,FOUND_MED_POLICY_ONLY,Rural,0
11,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Anoka County,38230,2972,7.8,FOUND_SEIZURE_SPECIFIC,Suburb,1
2905,TRI-CITY UNITED SCHOOL DISTRICT,Le Sueur County,1929,146,7.6,FOUND_MED_POLICY_ONLY,Rural,0
595,EAST GRAND FORKS PUBLIC SCHOOL DIST,Polk County,1949,149,7.6,FOUND_SEIZURE_SPECIFIC,Suburb,1
621,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,Ramsey County,11747,874,7.4,NOT_FOUND,Suburb,0
508,ST. PETER PUBLIC SCHOOL DISTRICT,Nicollet County,2094,154,7.4,FOUND_MED_POLICY_ONLY,Town,0
6,South St. Paul Public School Dist,Dakota County,3116,224,7.2,FOUND_SEIZURE_SPECIFIC,Suburb,1
330,HERON LAKE-OKABENA SCHOOL DISTRICT,Jackson County,324,23,7.1,FOUND_MED_POLICY_ONLY,Rural,0
2859,GLENCOE-SILVER LAKE SCHOOL DISTRICT,McLeod County,1492,103,6.9,FOUND_MED_POLICY_ONLY,Town,0
2534,BIRD ISLAND-OLIVIA-LAKE LILLIAN,Renville County,616,41,6.7,FOUND_MED_POLICY_ONLY,Rural,0
273,EDINA PUBLIC SCHOOL DISTRICT,Hennepin County,8473,568,6.7,FOUND_SEIZURE_SPECIFIC,City,1
152,Moorhead Area Public Schools,Clay County,7266,483,6.6,FOUND_MED_POLICY_ONLY,Suburb,0
2159,BUFFALO LK-HECTOR-STEWART PUBLIC SC,Renville County,495,32,6.5,FOUND_MED_POLICY_ONLY,Rural,0
883,ROCKFORD PUBLIC SCHOOL DISTRICT,Wright County,1551,97,6.3,FOUND_SEIZURE_SPECIFIC,Rural,1
77,MANKATO PUBLIC SCHOOL DISTRICT,Blue Earth County,8640,536,6.2,FOUND_SEIZURE_SPECIFIC,City,1
511,ADRIAN PUBLIC SCHOOL DISTRICT,Nobles County,589,36,6.1,FOUND_MED_POLICY_ONLY,Rural,0
2365,GFW Public Schools,Sibley County,624,38,6.1,FOUND_MED_POLICY_ONLY,Rural,0
