molecule,year,quarter,prescriptions,total_reimbursed_usd,ndc_rows,suppressed_rows
vigabatrin,2021,4,40,707173.24,11,9
vigabatrin,2022,1,46,778669.04,11,9
vigabatrin,2022,2,33,537498.36,12,10
vigabatrin,2022,3,43,821117.97,11,9
vigabatrin,2022,4,44,815236.77,9,7
vigabatrin,2023,1,52,1000996.61,10,8
vigabatrin,2023,2,59,967586.95,10,7
vigabatrin,2023,3,53,755061.92,11,8
vigabatrin,2023,4,54,492590.72,8,5
vigabatrin,2024,1,45,426117.32,13,10
vigabatrin,2024,2,36,208528.2,6,4
vigabatrin,2024,3,76,1134625.44,10,7
vigabatrin,2024,4,66,1066186.99,13,11
vigabatrin,2025,1,89,1365134.98,13,9
vigabatrin,2025,2,74,942606.82,14,10
vigabatrin,2025,3,75,962457.74,14,10
vigabatrin,2025,4,92,1258747.8,12,7
vigabatrin,2026,1,72,928849.3,12,7
zonisamide,2019,1,1712,39600.77,26,10
zonisamide,2019,2,1878,42012.05,24,7
zonisamide,2019,3,1693,38237.97,23,8
zonisamide,2019,4,1786,41559.44,23,7
zonisamide,2020,1,1958,51422.59,26,9
zonisamide,2020,2,1817,47656.31,25,4
zonisamide,2020,3,1905,55566.19,27,7
zonisamide,2020,4,1777,52413.01,26,6
zonisamide,2021,1,1985,56150.31,25,5
zonisamide,2021,2,1839,43420.95,25,6
zonisamide,2021,3,1961,42045.87,26,7
zonisamide,2021,4,1765,41509.25,37,12
zonisamide,2022,1,2073,51813.0,37,6
zonisamide,2022,2,1936,53892.08,37,4
zonisamide,2022,3,2009,58714.81,36,4
zonisamide,2022,4,1811,57513.61,39,11
zonisamide,2023,1,1958,85663.31,47,10
zonisamide,2023,2,1801,95466.47,49,13
zonisamide,2023,3,1857,110075.08,49,17
zonisamide,2023,4,1748,130776.4,46,14
zonisamide,2024,1,1896,183357.48,46,12
zonisamide,2024,2,1142,93717.14,26,10
zonisamide,2024,3,1825,208045.29,45,12
zonisamide,2024,4,1188,164723.42,45,18
zonisamide,2025,1,1708,204374.28,46,17
zonisamide,2025,2,1674,230847.88,46,18
zonisamide,2025,3,1717,218737.59,42,11
zonisamide,2025,4,1714,221801.69,42,13
zonisamide,2026,1,1582,215971.11,41,10
