npi,name,city,state,zip5,lat,lon
1083631469,WALMART INC.,FRIDLEY,MN,55432,45.09695,-93.25467
1205273984,WALMART INC.,BLAINE,MN,55434,45.16809,-93.2505
1013262732,WALMART INC.,BROOKLYN CENTER,MN,55430,45.06397,-93.30129
1295799518,ALLINA HEALTH SYSTEM,PLYMOUTH,MN,55441,45.00459,-93.42831
1477336527,ALLINA HEALTH SYSTEM,NEW ULM,MN,56073,44.30581,-94.46737
1588447635,ALLINA HEALTH SYSTEM,PLYMOUTH,MN,55441,45.00459,-93.42831
1063449213,ALLINA HEALTH SYSTEM,NEW ULM,MN,56073,44.30581,-94.46737
1568572188,COSTCO WHOLESALE CORPORATION,COON RAPIDS,MN,55448,45.19075,-93.30214
1467776682,FAIRVIEW PHARMACY SERVICES LLC,BLAINE,MN,55449,45.17278,-93.19461
1437620903,GRAND ST PAUL CVS LLC,PLYMOUTH,MN,55447,45.0011,-93.4892
1952401390,GRAND ST PAUL CVS LLC,PLYMOUTH,MN,55446,45.04404,-93.48754
1770683112,GRAND ST PAUL CVS LLC,COON RAPIDS,MN,55448,45.19075,-93.30214
1245339548,GRAND ST PAUL CVS LLC,BLAINE,MN,55449,45.17278,-93.19461
1215959903,GRAND ST PAUL CVS LLC,BLAINE,MN,55449,45.17278,-93.19461
1306868088,GRAND ST PAUL CVS LLC,PLYMOUTH,MN,55442,45.04855,-93.42689
1487131330,GRAND ST PAUL CVS LLC,BROOKLYN PARK,MN,55443,45.11958,-93.33713
1386780997,HANSON NORTHDALE DRUG,COON RAPIDS,MN,55448,45.19075,-93.30214
1053895722,HY-VEE INC,PLYMOUTH,MN,55447,45.0011,-93.4892
1144679010,HY-VEE INC,BROOKLYN PARK,MN,55443,45.11958,-93.33713
1801126214,LAB DRUGS & MEDICAL -TRANS-SUPPLIES LLC,BROOKLYN PARK,MN,55443,45.11958,-93.33713
1508378167,PRAIRIECARE LLC,BROOKLYN PARK,MN,55443,45.11958,-93.33713
1548318801,RBF LLC,PLYMOUTH,MN,55447,45.0011,-93.4892
1811045172,RBF LLC,PLYMOUTH,MN,55441,45.00459,-93.42831
1114932431,WALGREEN CO,COON RAPIDS,MN,55448,45.19075,-93.30214
1366680688,WALGREEN CO,PLYMOUTH,MN,55446,45.04404,-93.48754
1477568608,WALGREEN CO,PLYMOUTH,MN,55447,45.0011,-93.4892
1679588990,WALGREEN CO,PLYMOUTH,MN,55442,45.04855,-93.42689
1669487898,WALGREEN CO,BROOKLYN PARK,MN,55444,45.10596,-93.30214
1437165800,WALGREEN CO,COON RAPIDS,MN,55448,45.19075,-93.30214
1023023256,WALGREEN CO,BLAINE,MN,55449,45.17278,-93.19461
1598770802,WALGREEN CO,BROOKLYN PARK,MN,55443,45.11958,-93.33713
1932115573,WALGREEN CO,BLAINE,MN,55449,45.17278,-93.19461
1598492050,WALGREEN CO .,BROOKLYN PARK,MN,55445,45.12327,-93.37971
1366469744,WALMART INC.,BROOKLYN PARK,MN,55445,45.12327,-93.37971
1538186903,WALMART INC.,COON RAPIDS,MN,55448,45.19075,-93.30214
1619909694,FAIRVIEW PHARMACY SERVICES LLC,MINNEAPOLIS,MN,55455,44.97358,-93.23316
1154353142,FAIRVIEW PHARMACY SERVICES LLC,MINNEAPOLIS,MN,55455,44.97358,-93.23316
1952335804,FAIRVIEW PHARMACY SERVICES LLC,MINNEAPOLIS,MN,55455,44.97358,-93.23316
1013035120,FAIRVIEW PHARMACY SERVICES LLC,MINNEAPOLIS,MN,55455,44.97358,-93.23316
1700818788,FAIRVIEW PHARMACY SERVICES LLC,MINNEAPOLIS,MN,55454,44.96966,-93.2422
1093226326,FAIRVIEW PHARMACY SERVICES LLC,MINNEAPOLIS,MN,55454,44.96966,-93.2422
1013428929,"FAIRVIEW PHARMACY SERVICES, LLC",MINNEAPOLIS,MN,55454,44.96966,-93.2422
1235240326,P & A DRUG INC DBA ROSS WESTBANK PHARMACY,MINNEAPOLIS,MN,55454,44.96966,-93.2422
1780620237,REGENTS OF THE UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,55455,44.97358,-93.23316
1447227525,ASCENSION WISCONSIN PHARMACY INC,MILWAUKEE,WI,53226,43.04948,-88.04215
1104305085,"ASCENSION WISCONSIN PHARMACY, INC",RHINELANDER,WI,54501,45.65303,-89.34502
1619453990,"ASCENSION WISCONSIN PHARMACY, INC",APPLETON,WI,54915,44.24247,-88.35644
1154812303,"ASCENSION WISCONSIN PHARMACY, INC",WESTON,WI,54476,44.88805,-89.5241
1356336002,"ASCENSION WISCONSIN PHARMACY, INC",WAUSAU,WI,54401,44.96559,-89.70676
1093782179,"ASCENSION WISCONSIN PHARMACY, INC.",MILWAUKEE,WI,53210,43.06881,-87.9738
1114994209,"ASCENSION WISCONSIN PHARMACY, INC.",BROOKFIELD,WI,53045,43.06091,-88.15149
