isd,district,county,locale,enrollment_2024,seizure_classification,has_public_seizure_plan,support_staff_fte_nces2024,nurse_risk_tier,prob_no_lsn_based_on_mdh2022,dual_risk_no_plan_likely_no_nurse,county_uninsured_pct,county_disability_pct,combined_risk_score,nces_leaid,nces_state_leaid
129,Montevideo Public Schools,Chippewa County,Town,1372,FOUND_SEIZURE_SPECIFIC,True,41.0,LOW_RISK_LARGE,7%,False,9.9,32.6,5,2721320,MN-010129
99,Esko Public School District,Carlton County,Town,1287,FOUND_SEIZURE_SPECIFIC,True,13.0,LOW_RISK_LARGE,7%,False,8.0,31.0,5,2738880,MN-010099
2689,Pipestone Area School District,Pipestone County,Rural,1138,FOUND_SEIZURE_SPECIFIC,True,9.0,LOW_RISK_LARGE,7%,False,9.1,32.6,5,2700108,MN-012689
2071,Lake Crystal-Wellcome Memorial,Blue Earth County,Rural,957,FOUND_SEIZURE_SPECIFIC,True,6.0,ELEVATED_RISK_MID,60%,False,7.9,28.8,5,2791445,MN-012071
227,Chatfield Public Schools,Olmsted County,Rural,898,FOUND_SEIZURE_SPECIFIC,True,17.0,ELEVATED_RISK_MID,60%,False,6.7,24.9,5,2708220,MN-010227
2143,Waterville-Elysian-Morristown,Le Sueur County,Rural,716,FOUND_SEIZURE_SPECIFIC,True,5.0,ELEVATED_RISK_MID,60%,False,7.7,27.0,5,2700013,MN-012143
253,Goodhue Public School District,Goodhue County,Rural,778,FOUND_SEIZURE_SPECIFIC,True,5.0,ELEVATED_RISK_MID,60%,False,7.7,28.6,5,2712900,MN-010253
2364,Belgrade-Brooten-Elrosa School Dist,Stearns County,Rural,610,FOUND_SEIZURE_SPECIFIC,True,16.0,ELEVATED_RISK_MID,60%,False,7.9,27.6,5,2700105,MN-012364
709,Duluth,St. Louis County,City,8723,FOUND_SEIZURE_SPECIFIC,True,155.0,LOW_RISK_LARGE,7%,False,6.8,30.8,4,2711040,MN-010709
181,Brainerd Public School District,Crow Wing County,Town,6079,FOUND_SEIZURE_SPECIFIC,True,99.0,LOW_RISK_LARGE,7%,False,7.0,30.7,4,2706090,MN-010181
911,Cambridge-Isanti Schools,Isanti County,Town,5007,FOUND_SEIZURE_SPECIFIC,True,75.0,LOW_RISK_LARGE,7%,False,8.0,29.0,4,2707410,MN-010911
47,Sauk Rapids-Rice Public Schools,Benton County,Suburb,4331,FOUND_SEIZURE_SPECIFIC,True,43.0,LOW_RISK_LARGE,7%,False,8.0,28.4,4,2732880,MN-010047
318,Grand Rapids Public School District,Itasca County,Rural,3972,FOUND_SEIZURE_SPECIFIC,True,44.0,LOW_RISK_LARGE,7%,False,7.1,32.7,4,2713170,MN-010318
544,Fergus Falls Public School District,Otter Tail County,Town,3235,FOUND_SEIZURE_SPECIFIC,True,36.0,LOW_RISK_LARGE,7%,False,7.5,30.6,4,2711880,MN-010544
22,Detroit Lakes Public School Dist.,Becker County,Town,2728,FOUND_SEIZURE_SPECIFIC,True,40.0,LOW_RISK_LARGE,7%,False,7.5,30.3,4,2710230,MN-010022
423,Hutchinson Public School District,McLeod County,Town,2722,FOUND_SEIZURE_SPECIFIC,True,35.0,LOW_RISK_LARGE,7%,False,8.3,29.3,4,2714970,MN-010423
2909,Rock Ridge Public Schools,St. Louis County,Rural,2288,FOUND_SEIZURE_SPECIFIC,True,31.0,LOW_RISK_LARGE,7%,False,6.8,30.8,4,2700466,MN-012909
595,East Grand Forks Public Schools,Polk County,Suburb,2005,FOUND_SEIZURE_SPECIFIC,True,31.0,LOW_RISK_LARGE,7%,False,8.3,29.7,4,2711130,MN-010595
564,Thief River Falls School District,Pennington County,Town,1725,FOUND_SEIZURE_SPECIFIC,True,17.0,LOW_RISK_LARGE,7%,False,7.9,30.7,4,2738850,MN-010564
186,Pequot Lakes Public Schools,Crow Wing County,Rural,1737,FOUND_SEIZURE_SPECIFIC,True,17.0,LOW_RISK_LARGE,7%,False,7.0,30.7,4,2728200,MN-010186
309,Park Rapids Public School District,Hubbard County,Rural,1589,FOUND_SEIZURE_SPECIFIC,True,18.0,LOW_RISK_LARGE,7%,False,6.9,30.1,4,2728080,MN-010309
2149,Minnewaska Area Schools,Pope County,Rural,1324,FOUND_SEIZURE_SPECIFIC,True,23.0,LOW_RISK_LARGE,7%,False,7.2,30.1,4,2700019,MN-012149
116,Pillager Public School District,Cass County,Rural,1324,FOUND_SEIZURE_SPECIFIC,True,6.0,LOW_RISK_LARGE,7%,False,7.4,34.1,4,2728350,MN-010116
2769,Morris Area Public Schools,Stevens County,Rural,1092,FOUND_SEIZURE_SPECIFIC,True,10.0,LOW_RISK_LARGE,7%,False,9.7,29.5,4,2700383,MN-012769
270,Hopkins,Hennepin County,City,7129,FOUND_SEIZURE_SPECIFIC,True,164.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2714260,MN-010270
272,Eden Prairie,Hennepin County,City,9292,FOUND_SEIZURE_SPECIFIC,True,184.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2714220,MN-010272
112,Eastern Carver County,Carver County,Suburb,9274,FOUND_SEIZURE_SPECIFIC,True,256.0,LOW_RISK_LARGE,7%,False,5.8,23.3,3,2708190,MN-010112
719,Prior Lake-Savage,Scott County,Suburb,8788,FOUND_SEIZURE_SPECIFIC,True,157.0,LOW_RISK_LARGE,7%,False,6.6,23.7,3,2730060,MN-010719
206,Alexandria,Douglas County,Town,4034,FOUND_SEIZURE_SPECIFIC,True,54.0,LOW_RISK_LARGE,7%,False,6.9,29.6,3,2703060,MN-010206
466,Dassel-Cokato,Wright County,Rural,2020,FOUND_SEIZURE_SPECIFIC,True,23.0,LOW_RISK_LARGE,7%,False,6.8,26.0,3,2710060,MN-010466
11,Anoka-Hennepin School District,Anoka County,Suburb,38354,FOUND_SEIZURE_SPECIFIC,True,741.0,LOW_RISK_LARGE,7%,False,7.5,28.1,3,2703180,MN-010011
625,Saint Paul Public Schools,Ramsey County,City,33041,FOUND_SEIZURE_SPECIFIC,True,1101.0,LOW_RISK_LARGE,7%,False,7.8,27.9,3,2733840,MN-010625
196,Rosemount-Apple Valley-Eagan,Dakota County,Suburb,29224,FOUND_SEIZURE_SPECIFIC,True,434.0,LOW_RISK_LARGE,7%,False,7.1,25.8,3,2732390,MN-010196
279,Osseo Public School District,Hennepin County,Suburb,21138,FOUND_SEIZURE_SPECIFIC,True,405.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2725200,MN-010279
535,Rochester Public School District,Olmsted County,City,17171,FOUND_SEIZURE_SPECIFIC,True,214.0,LOW_RISK_LARGE,7%,False,6.7,24.9,3,2731800,MN-010535
284,Wayzata Public Schools,Hennepin County,City,12951,FOUND_SEIZURE_SPECIFIC,True,248.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2742160,MN-010284
194,Lakeville Area Schools,Dakota County,Suburb,12025,FOUND_SEIZURE_SPECIFIC,True,213.0,LOW_RISK_LARGE,7%,False,7.1,25.8,3,2717780,MN-010194
281,Robbinsdale Public School District,Hennepin County,Suburb,10810,FOUND_SEIZURE_SPECIFIC,True,424.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2731780,MN-010281
622,North St. Paul-Maplewood Oakdale,Ramsey County,Suburb,10754,FOUND_SEIZURE_SPECIFIC,True,362.0,LOW_RISK_LARGE,7%,False,7.8,27.9,3,2723850,MN-010622
271,Bloomington Public School District,Hennepin County,City,10442,FOUND_SEIZURE_SPECIFIC,True,236.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2705790,MN-010271
273,Edina Public School District,Hennepin County,City,8794,FOUND_SEIZURE_SPECIFIC,True,202.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2711250,MN-010273
624,White Bear Lake Area Schools,Ramsey County,Suburb,8571,FOUND_SEIZURE_SPECIFIC,True,189.0,LOW_RISK_LARGE,7%,False,7.8,27.9,3,2742360,MN-010624
834,Stillwater Area Public Schools,Washington County,Town,8455,FOUND_SEIZURE_SPECIFIC,True,194.0,LOW_RISK_LARGE,7%,False,5.8,23.5,3,2738190,MN-010834
77,Mankato Area Public Schools,Blue Earth County,City,8219,FOUND_SEIZURE_SPECIFIC,True,97.0,LOW_RISK_LARGE,7%,False,7.9,28.8,3,2718780,MN-010077
720,Shakopee Public Schools,Scott County,Suburb,7717,FOUND_SEIZURE_SPECIFIC,True,137.0,LOW_RISK_LARGE,7%,False,6.6,23.7,3,2733000,MN-010720
191,Burnsville-Eagan-Savage Schools,Dakota County,City,7663,FOUND_SEIZURE_SPECIFIC,True,181.0,LOW_RISK_LARGE,7%,False,7.1,25.8,3,2707290,MN-010191
623,Roseville Public School District,Ramsey County,Suburb,7256,FOUND_SEIZURE_SPECIFIC,True,151.0,LOW_RISK_LARGE,7%,False,7.8,27.9,3,2732430,MN-010623
12,Centennial Public School District,Anoka County,Suburb,6851,FOUND_SEIZURE_SPECIFIC,True,104.0,LOW_RISK_LARGE,7%,False,7.5,28.1,3,2708100,MN-010012
885,St. Michael-Albertville Schools,Wright County,Suburb,6795,FOUND_SEIZURE_SPECIFIC,True,106.0,LOW_RISK_LARGE,7%,False,6.8,26.0,3,2733790,MN-010885
16,Spring Lake Park Public Schools,Anoka County,Suburb,6113,FOUND_SEIZURE_SPECIFIC,True,130.0,LOW_RISK_LARGE,7%,False,7.5,28.1,3,2733330,MN-010016
831,Forest Lake Public School District,Washington County,Town,5776,FOUND_SEIZURE_SPECIFIC,True,90.0,LOW_RISK_LARGE,7%,False,5.8,23.5,3,2712270,MN-010831
197,West St. Paul-Mendota Heights-Eagan,Dakota County,Suburb,5452,FOUND_SEIZURE_SPECIFIC,True,41.0,LOW_RISK_LARGE,7%,False,7.1,25.8,3,2742270,MN-010197
877,Buffalo-Hanover-Montrose Schools,Wright County,Town,5175,FOUND_SEIZURE_SPECIFIC,True,68.0,LOW_RISK_LARGE,7%,False,6.8,26.0,3,2707200,MN-010877
15,St. Francis Area Schools,Anoka County,Town,4281,FOUND_SEIZURE_SPECIFIC,True,67.0,LOW_RISK_LARGE,7%,False,7.5,28.1,3,2733540,MN-010015
200,Hastings Public School District,Dakota County,Town,4041,FOUND_SEIZURE_SPECIFIC,True,54.0,LOW_RISK_LARGE,7%,False,7.1,25.8,3,2713530,MN-010200
280,Richfield Public School District,Hennepin County,Suburb,4094,FOUND_SEIZURE_SPECIFIC,True,132.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2731750,MN-010280
110,Waconia Public Schools,Carver County,Town,3984,FOUND_SEIZURE_SPECIFIC,True,59.0,LOW_RISK_LARGE,7%,False,5.8,23.3,3,2741460,MN-010110
2144,Chisago Lakes School District,Chisago County,Town,3317,FOUND_SEIZURE_SPECIFIC,True,41.0,LOW_RISK_LARGE,7%,False,7.0,28.4,3,2700017,MN-012144
832,Mahtomedi Public Schools,Washington County,Rural,3285,FOUND_SEIZURE_SPECIFIC,True,34.0,LOW_RISK_LARGE,7%,False,5.8,23.5,3,2718750,MN-010832
727,Big Lake Public School District,Sherburne County,Town,3190,FOUND_SEIZURE_SPECIFIC,True,54.0,LOW_RISK_LARGE,7%,False,7.1,27.3,3,2705460,MN-010727
278,Orono Public School District,Hennepin County,Rural,2987,FOUND_SEIZURE_SPECIFIC,True,56.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2725080,MN-010278
6,South St. Paul Public School District,Dakota County,Suburb,2861,FOUND_SEIZURE_SPECIFIC,True,80.0,LOW_RISK_LARGE,7%,False,7.1,25.8,3,2733270,MN-030006
277,Westonka Public School District,Hennepin County,Rural,2442,FOUND_SEIZURE_SPECIFIC,True,51.0,LOW_RISK_LARGE,7%,False,7.5,25.0,3,2722920,MN-010277
717,Jordan Public School District,Scott County,Town,1877,FOUND_SEIZURE_SPECIFIC,True,26.0,LOW_RISK_LARGE,7%,False,6.6,23.7,3,2715750,MN-010717
2164,Dilworth-Glyndon-Felton,Clay County,Rural,1535,FOUND_SEIZURE_SPECIFIC,True,12.0,LOW_RISK_LARGE,7%,False,7.2,27.4,3,2710260,MN-012164
883,Rockford Public School District,Wright County,Rural,1565,FOUND_SEIZURE_SPECIFIC,True,15.0,LOW_RISK_LARGE,7%,False,6.8,26.0,3,2732070,MN-010883
255,Pine Island Public School District,Goodhue County,Rural,1562,FOUND_SEIZURE_SPECIFIC,True,26.0,LOW_RISK_LARGE,7%,False,7.7,28.6,3,2728950,MN-010255
2899,Plainview-Elgin-Millville Community Schools,Wabasha County,Rural,1405,FOUND_SEIZURE_SPECIFIC,True,9.0,LOW_RISK_LARGE,7%,False,7.0,28.5,3,2700287,MN-012899
111,Watertown-Mayer Public School District,Carver County,Rural,1440,FOUND_SEIZURE_SPECIFIC,True,11.0,LOW_RISK_LARGE,7%,False,5.8,23.3,3,2741910,MN-010111
2687,Howard Lake-Waverly-Winsted,Wright County,Rural,1312,FOUND_SEIZURE_SPECIFIC,True,18.0,LOW_RISK_LARGE,7%,False,6.8,26.0,3,2700123,MN-012687
