isd,district,county,locale,enrollment_2024,seizure_classification,has_public_seizure_plan,support_staff_fte_nces2024,nurse_risk_tier,prob_no_lsn_based_on_mdh2022,dual_risk_no_plan_likely_no_nurse,county_uninsured_pct,county_disability_pct,combined_risk_score,nces_leaid,nces_state_leaid
2753,Long Prairie-Grey Eagle School Dist,Todd County,Rural,984,FOUND_MED_POLICY_ONLY,False,12.0,ELEVATED_RISK_MID,60%,True,10.4,34.5,10,2700109,MN-012753
2165,Hinckley-Finlayson School District,Pine County,Rural,869,FOUND_MED_POLICY_ONLY,False,11.0,ELEVATED_RISK_MID,60%,True,8.7,33.9,10,2714070,MN-012165
821,Menahga Public School District,Wadena County,Rural,987,FOUND_MED_POLICY_ONLY,False,9.0,ELEVATED_RISK_MID,60%,True,8.8,34.4,10,2720580,MN-010821
162,Bagley Public School District,Clearwater County,Rural,870,FOUND_MED_POLICY_ONLY,False,7.0,ELEVATED_RISK_MID,60%,True,8.9,33.2,10,2703570,MN-010162
2397,Le Sueur-Henderson School District,Le Sueur County,Rural,908,FOUND_MED_POLICY_ONLY,False,0.0,ZERO_SUPPORT_STAFF,95%,True,7.7,27.0,10,2718070,MN-012397
2134,United South Central Schools,Faribault County,Rural,763,FOUND_MED_POLICY_ONLY,False,10.0,ELEVATED_RISK_MID,60%,True,9.3,34.3,10,2700005,MN-012134
2168,Nrheg School District,Waseca County,Rural,762,FOUND_MED_POLICY_ONLY,False,12.0,ELEVATED_RISK_MID,60%,True,8.9,30.7,10,2700089,MN-012168
777,Benson Public School District,Swift County,Rural,760,FOUND_MED_POLICY_ONLY,False,30.0,ELEVATED_RISK_MID,60%,True,9.1,33.9,10,2704470,MN-010777
2580,East Central School District,Pine County,Rural,732,FOUND_MED_POLICY_ONLY,False,7.0,ELEVATED_RISK_MID,60%,True,8.7,33.9,10,2711085,MN-012580
2180,Maccray School District,Chippewa County,Rural,722,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,9.9,32.6,10,2700091,MN-012180
2342,West Central Area,Grant County,Rural,743,FOUND_MED_POLICY_ONLY,False,8.0,ELEVATED_RISK_MID,60%,True,8.0,32.3,10,2700104,MN-012342
32,Blackduck Public School,Beltrami County,Rural,696,FOUND_MED_POLICY_ONLY,False,8.0,ELEVATED_RISK_MID,60%,True,8.2,32.7,10,2705730,MN-010032
2169,Murray County Central Schools,Murray County,Rural,721,NOT_FOUND,False,7.0,ELEVATED_RISK_MID,60%,True,8.3,31.7,10,2700090,MN-012169
2910,Ada-Borup-West Public Schools,Norman County,Rural,705,NOT_VERIFIABLE,False,8.0,ELEVATED_RISK_MID,60%,True,8.3,31.7,10,2700480,MN-012910
91,Barnum Public School District,Carlton County,Rural,660,NOT_VERIFIABLE,False,11.0,ELEVATED_RISK_MID,60%,True,8.0,31.0,10,2703690,MN-010091
2448,Martin County West School District,Martin County,Rural,624,FOUND_MED_POLICY_ONLY,False,11.0,ELEVATED_RISK_MID,60%,True,8.4,31.8,10,2718960,MN-012448
2534,Bird Island-Olivia-Lake Lillian,Renville County,Rural,636,FOUND_MED_POLICY_ONLY,False,5.0,ELEVATED_RISK_MID,60%,True,9.8,33.2,10,2705660,MN-012534
2365,Gfw Public Schools,Sibley County,Rural,572,FOUND_MED_POLICY_ONLY,False,22.0,ELEVATED_RISK_MID,60%,True,9.0,30.4,10,2712580,MN-012365
84,Sleepy Eye Public School District,Brown County,Rural,562,FOUND_MED_POLICY_ONLY,False,5.0,ELEVATED_RISK_MID,60%,True,8.1,30.2,10,2733210,MN-010084
891,Canby Public School District,Yellow Medicine County,Rural,604,NOT_VERIFIABLE,False,4.0,ELEVATED_RISK_MID,60%,True,8.5,31.3,10,2707470,MN-010891
97,Moose Lake Public School District,Carlton County,Rural,561,FOUND_MED_POLICY_ONLY,False,13.0,ELEVATED_RISK_MID,60%,True,8.0,31.0,10,2721450,MN-010097
2176,Warren-Alvarado-Oslo School Dist.,Marshall County,Rural,589,FOUND_MED_POLICY_ONLY,False,5.0,ELEVATED_RISK_MID,60%,True,8.2,31.9,10,2700024,MN-012176
846,Breckenridge Public School District,Wilkin County,Town,576,FOUND_MED_POLICY_ONLY,False,7.0,ELEVATED_RISK_MID,60%,True,8.0,31.3,10,2706150,MN-010846
787,Browerville Public School District,Todd County,Rural,566,NOT_FOUND,False,3.0,ELEVATED_RISK_MID,60%,True,10.4,34.5,10,2706300,MN-010787
786,Bertha-Hewitt Public School District,Todd County,Rural,506,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,10.4,34.5,10,2705430,MN-010786
500,Southland Public School District,Mower County,Rural,520,FOUND_MED_POLICY_ONLY,False,3.0,ELEVATED_RISK_MID,60%,True,10.6,30.9,10,2702720,MN-010500
599,Fertile-Beltrami School District,Polk County,Rural,495,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,8.3,29.7,10,2711910,MN-010599
424,Lester Prairie Public Schools,McLeod County,Rural,435,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,8.3,29.3,10,2702640,MN-010424
390,Lake Of The Woods School District,Lake of the Woods County,Rural,462,FOUND_MED_POLICY_ONLY,False,6.0,HIGH_RISK_SMALL,83%,True,7.0,31.0,10,2717570,MN-010390
229,Lanesboro Public School District,Fillmore County,Rural,442,NOT_FOUND,False,13.0,HIGH_RISK_SMALL,83%,True,7.6,31.6,10,2717910,MN-010229
4,Mcgregor Public School District,Aitkin County,Rural,414,FOUND_MED_POLICY_ONLY,False,9.0,HIGH_RISK_SMALL,83%,True,7.4,34.7,10,2719170,MN-010004
542,Battle Lake Public School District,Otter Tail County,Rural,414,FOUND_MED_POLICY_ONLY,False,6.0,HIGH_RISK_SMALL,83%,True,7.5,30.6,10,2703750,MN-010542
630,Red Lake Falls Public School Dist.,Red Lake County,Rural,421,NOT_FOUND,False,3.0,HIGH_RISK_SMALL,83%,True,7.6,30.9,10,2730450,MN-010630
362,Littlefork-Big Falls School Dist.,Koochiching County,Rural,402,NOT_VERIFIABLE,False,3.0,HIGH_RISK_SMALL,83%,True,7.3,32.7,10,2718270,MN-010362
306,Laporte Public School District,Hubbard County,Rural,332,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,6.9,30.1,10,2717940,MN-010306
118,Northland Community Schools,Cass County,Rural,344,FOUND_MED_POLICY_ONLY,False,6.0,HIGH_RISK_SMALL,83%,True,7.4,34.1,10,2730870,MN-010118
2906,Red Lake County Central Public Sch,Red Lake County,Rural,343,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,7.6,30.9,10,2700385,MN-012906
486,Swanville Public School District,Morrison County,Rural,367,NOT_FOUND,False,4.0,HIGH_RISK_SMALL,83%,True,7.7,30.1,10,2738280,MN-010486
2888,Clinton-Graceville-Beardsley,Big Stone County,Rural,333,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,7.9,32.0,10,2700150,MN-012888
487,Upsala Public School District,Morrison County,Rural,327,NOT_VERIFIABLE,False,3.0,HIGH_RISK_SMALL,83%,True,7.7,30.1,10,2740860,MN-010487
330,Heron Lake-Okabena School District,Jackson County,Rural,260,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,7.7,30.5,10,2713930,MN-010330
238,Mabel-Canton Public School District,Fillmore County,Rural,269,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,7.6,31.6,10,2718540,MN-010238
561,Goodridge Public School District,Pennington County,Rural,275,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,7.9,30.7,10,2713020,MN-010561
2,Hill City Public School District,Aitkin County,Rural,267,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,7.4,34.7,10,2714010,MN-010002
2171,Kittson Central School District,Kittson County,Rural,247,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,7.0,31.0,10,2791447,MN-012171
600,Fisher Public School District,Polk County,Rural,222,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,8.3,29.7,10,2712180,MN-010600
402,Hendricks Public School District,Lincoln County,Rural,244,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,7.7,32.0,10,2713680,MN-010402
2683,Greenbush Middle River Schools,Roseau County,Rural,222,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,7.8,30.7,10,2700107,MN-012683
676,Badger Public School District,Roseau County,Rural,223,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,7.8,30.7,10,2703540,MN-010676
356,Lancaster Public School District,Kittson County,Rural,208,NOT_VERIFIABLE,False,2.0,HIGH_RISK_SMALL,83%,True,7.0,31.0,10,2717880,MN-010356
592,Climax-Shelly Public Schools,Polk County,Rural,159,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,8.3,29.7,10,2709360,MN-010592
363,South Koochiching School District,Koochiching County,Rural,203,NOT_VERIFIABLE,False,3.0,HIGH_RISK_SMALL,83%,True,7.3,32.7,10,2732700,MN-010363
2358,Tri-County School District,Kittson County,Rural,179,NOT_FOUND,False,3.0,HIGH_RISK_SMALL,83%,True,7.0,31.0,10,2791446,MN-012358
698,Floodwood Public School District,St. Louis County,Rural,168,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,6.8,30.8,10,2712210,MN-010698
771,Chokio-Alberta Public Schools,Stevens County,Rural,142,FOUND_MED_POLICY_ONLY,False,1.0,HIGH_RISK_SMALL,83%,True,9.7,29.5,10,2708940,MN-010771
404,Lake Benton Public School District,Lincoln County,Rural,102,FOUND_MED_POLICY_ONLY,False,1.0,HIGH_RISK_SMALL,83%,True,7.7,32.0,10,2717460,MN-010404
403,Ivanhoe Public School District,Lincoln County,Rural,71,FOUND_MED_POLICY_ONLY,False,1.0,HIGH_RISK_SMALL,83%,True,7.7,32.0,10,2715540,MN-010403
707,Nett Lake Public School District,St. Louis County,Rural,48,FOUND_MED_POLICY_ONLY,False,2.0,HIGH_RISK_SMALL,83%,True,6.8,30.8,10,2733720,MN-010707
323,Franconia Public School District,Washington County,Rural,0,NOT_VERIFIABLE,False,0.0,ZERO_SUPPORT_STAFF,95%,True,5.8,23.5,10,2708880,MN-020323
2137,Kingsland,Fillmore County,Rural,524,FOUND_MED_POLICY_ONLY,False,9.0,ELEVATED_RISK_MID,60%,True,7.6,31.6,9,2700007,MN-012137
2711,Mesabi East,St. Louis County,Rural,862,FOUND_MED_POLICY_ONLY,False,7.0,ELEVATED_RISK_MID,60%,True,6.8,30.8,9,2791450,MN-012711
840,St. James Public School District,Watonwan County,Rural,1143,NOT_FOUND,False,12.0,LOW_RISK_LARGE,7%,False,13.4,33.0,9,2733600,MN-010840
316,Greenway Public School District,Itasca County,Rural,970,FOUND_MED_POLICY_ONLY,False,10.0,ELEVATED_RISK_MID,60%,True,7.1,32.7,9,2709480,MN-010316
182,Crosby-Ironton School District,Crow Wing County,Rural,988,FOUND_MED_POLICY_ONLY,False,9.0,ELEVATED_RISK_MID,60%,True,7.0,30.7,9,2709750,MN-010182
361,International Falls School District,Koochiching County,Town,914,FOUND_MED_POLICY_ONLY,False,10.0,ELEVATED_RISK_MID,60%,True,7.3,32.7,9,2715000,MN-010361
2174,Pine River-Backus School District,Cass County,Rural,906,FOUND_MED_POLICY_ONLY,False,8.0,ELEVATED_RISK_MID,60%,True,7.4,34.1,9,2728970,MN-012174
548,Pelican Rapids Public Schools,Otter Tail County,Rural,842,FOUND_MED_POLICY_ONLY,False,7.0,ELEVATED_RISK_MID,60%,True,7.5,30.6,9,2728170,MN-010548
317,Deer River Public School District,Itasca County,Rural,833,FOUND_MED_POLICY_ONLY,False,16.0,ELEVATED_RISK_MID,60%,True,7.1,32.7,9,2710140,MN-010317
2853,Lac Qui Parle Valley Schools,Lac qui Parle County,Rural,890,FOUND_MED_POLICY_ONLY,False,21.0,ELEVATED_RISK_MID,60%,True,7.3,31.4,9,2700125,MN-012853
23,Frazee-Vergas Public Schools,Becker County,Rural,834,FOUND_MED_POLICY_ONLY,False,12.0,ELEVATED_RISK_MID,60%,True,7.5,30.3,9,2712360,MN-010023
553,New York Mills Public School Dist.,Otter Tail County,Rural,822,FOUND_MED_POLICY_ONLY,False,4.0,ELEVATED_RISK_MID,60%,True,7.5,30.6,9,2723520,MN-010553
314,Braham Public School District,Isanti County,Rural,783,FOUND_MED_POLICY_ONLY,False,7.0,ELEVATED_RISK_MID,60%,True,8.0,29.0,9,2706060,MN-010314
2904,Tracy Area Public School District,Lyon County,Rural,670,FOUND_MED_POLICY_ONLY,False,4.0,ELEVATED_RISK_MID,60%,True,8.5,29.1,9,2700326,MN-012904
113,Walker-Hackensack-Akeley School District,Cass County,Rural,686,FOUND_MED_POLICY_ONLY,False,13.0,ELEVATED_RISK_MID,60%,True,7.4,34.1,9,2702910,MN-010113
2889,Lake Park Audubon School District,Becker County,Rural,663,FOUND_MED_POLICY_ONLY,False,10.0,ELEVATED_RISK_MID,60%,True,7.5,30.3,9,2700162,MN-012889
695,Chisholm Public School District,St. Louis County,Town,640,FOUND_MED_POLICY_ONLY,False,7.0,ELEVATED_RISK_MID,60%,True,6.8,30.8,9,2708910,MN-010695
2902,Rtr Public Schools,Lincoln County,Rural,646,FOUND_MED_POLICY_ONLY,False,5.0,ELEVATED_RISK_MID,60%,True,7.7,32.0,9,2700294,MN-012902
239,Rushford-Peterson Public Schools,Fillmore County,Rural,648,NOT_FOUND,False,5.0,ELEVATED_RISK_MID,60%,True,7.6,31.6,9,2728290,MN-010239
601,Fosston Public School District,Polk County,Rural,596,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,8.3,29.7,9,2712300,MN-010601
308,Nevis Public School District,Hubbard County,Rural,621,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,6.9,30.1,9,2723370,MN-010308
712,Mountain Iron-Buhl School District,St. Louis County,Town,637,FOUND_MED_POLICY_ONLY,False,4.0,ELEVATED_RISK_MID,60%,True,6.8,30.8,9,2700001,MN-010712
319,Nashwauk-Keewatin School District,Itasca County,Rural,541,NOT_VERIFIABLE,False,5.0,ELEVATED_RISK_MID,60%,True,7.1,32.7,9,2723310,MN-010319
2198,Fillmore Central,Fillmore County,Rural,575,NOT_FOUND,False,15.0,ELEVATED_RISK_MID,60%,True,7.6,31.6,9,2700100,MN-012198
550,Underwood Public School District,Otter Tail County,Rural,554,NOT_FOUND,False,4.0,ELEVATED_RISK_MID,60%,True,7.5,30.6,9,2740830,MN-010550
414,Minneota Public School District,Lyon County,Rural,554,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,8.5,29.1,9,2721270,MN-010414
696,Ely Public School District,St. Louis County,Rural,528,FOUND_MED_POLICY_ONLY,False,4.0,ELEVATED_RISK_MID,60%,True,6.8,30.8,9,2711520,MN-010696
547,Parkers Prairie Public Schools,Otter Tail County,Rural,531,FOUND_MED_POLICY_ONLY,False,3.0,ELEVATED_RISK_MID,60%,True,7.5,30.6,9,2728110,MN-010547
166,Cook County Public Schools,Cook County,Rural,475,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,6.3,28.9,9,2713110,MN-010166
297,Spring Grove School District,Houston County,Rural,349,FOUND_MED_POLICY_ONLY,False,4.0,HIGH_RISK_SMALL,83%,True,6.8,28.5,9,2733300,MN-010297
507,Nicollet Public School District,Nicollet County,Rural,314,FOUND_MED_POLICY_ONLY,False,3.0,HIGH_RISK_SMALL,83%,True,7.3,28.3,9,2723580,MN-010507
914,Ulen-Hitterdal Public School Dist,Clay County,Rural,302,FOUND_MED_POLICY_ONLY,False,5.0,HIGH_RISK_SMALL,83%,True,7.2,27.4,9,2740810,MN-010914
635,Milroy Public School District,Redwood County,Rural,29,FOUND_SEIZURE_SPECIFIC,True,0.0,ZERO_SUPPORT_STAFF,95%,False,8.5,31.7,9,2721210,MN-010635
347,Willmar,Kandiyohi County,Town,4218,FOUND_MED_POLICY_ONLY,False,84.0,LOW_RISK_LARGE,7%,False,10.0,30.0,8,2742720,MN-010347
857,Lewiston-Altura,Winona County,Rural,591,FOUND_MED_POLICY_ONLY,False,8.0,ELEVATED_RISK_MID,60%,True,7.3,29.1,8,2718090,MN-010857
31,Bemidji Area Schools,Beltrami County,Town,4722,NOT_VERIFIABLE,False,95.0,LOW_RISK_LARGE,7%,False,8.2,32.7,8,2704440,MN-010031
2752,Fairmont Area School District,Martin County,Town,1846,FOUND_MED_POLICY_ONLY,False,21.0,LOW_RISK_LARGE,7%,False,8.4,31.8,8,2700124,MN-012752
829,Waseca Public Schools,Waseca County,Town,1752,FOUND_MED_POLICY_ONLY,False,13.0,LOW_RISK_LARGE,7%,False,8.9,30.7,8,2741880,MN-010829
332,Mora Public School District,Kanabec County,Rural,1656,FOUND_MED_POLICY_ONLY,False,26.0,LOW_RISK_LARGE,7%,False,8.5,33.8,8,2721480,MN-010332
578,Pine City Public School District,Pine County,Rural,1582,FOUND_MED_POLICY_ONLY,False,10.0,LOW_RISK_LARGE,7%,False,8.7,33.9,8,2728380,MN-010578
345,New London-Spicer School District,Kandiyohi County,Town,1518,NOT_VERIFIABLE,False,22.0,LOW_RISK_LARGE,7%,False,10.0,30.0,8,2723400,MN-010345
38,Red Lake Public School District,Beltrami County,Rural,1519,NOT_VERIFIABLE,False,37.0,LOW_RISK_LARGE,7%,False,8.2,32.7,8,2730510,MN-010038
2184,Luverne Public School District,Rock County,Rural,1142,FOUND_MED_POLICY_ONLY,False,7.0,LOW_RISK_LARGE,7%,False,8.0,30.8,8,2718330,MN-012184
177,Windom Public School District,Cottonwood County,Rural,1187,NOT_FOUND,False,20.0,LOW_RISK_LARGE,7%,False,10.2,32.9,8,2742780,MN-010177
2897,Redwood Area School District,Redwood County,Town,1113,FOUND_MED_POLICY_ONLY,False,35.0,LOW_RISK_LARGE,7%,False,8.5,31.7,8,2700182,MN-012897
2155,Wadena-Deer Creek School District,Wadena County,Town,1079,FOUND_MED_POLICY_ONLY,False,15.0,LOW_RISK_LARGE,7%,False,8.8,34.4,8,2700022,MN-012155
2860,Blue Earth Area School District,Faribault County,Rural,1064,FOUND_MED_POLICY_ONLY,False,13.0,LOW_RISK_LARGE,7%,False,9.3,34.3,8,2700130,MN-012860
2310,Sibley East School District,Sibley County,Rural,1089,FOUND_MED_POLICY_ONLY,False,14.0,LOW_RISK_LARGE,7%,False,9.0,30.4,8,2700102,MN-012310
300,La Crescent-Hokah School District,Houston County,Suburb,998,FOUND_MED_POLICY_ONLY,False,10.0,ELEVATED_RISK_MID,60%,True,6.8,28.5,8,2717250,MN-010300
858,St. Charles Public School District,Winona County,Rural,936,FOUND_MED_POLICY_ONLY,False,10.0,ELEVATED_RISK_MID,60%,True,7.3,29.1,8,2733450,MN-010858
811,Wabasha-Kellogg School District,Wabasha County,Suburb,757,FOUND_MED_POLICY_ONLY,False,11.0,ELEVATED_RISK_MID,60%,True,7.0,28.5,8,2741060,MN-010811
2135,Maple River School District,Blue Earth County,Rural,946,FOUND_MED_POLICY_ONLY,False,23.0,ELEVATED_RISK_MID,60%,True,7.9,28.8,8,2700006,MN-012135
108,Central Public School District,Carver County,Rural,966,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,5.8,23.3,8,2723910,MN-010108
741,Paynesville Area Schools,Stearns County,Rural,894,FOUND_MED_POLICY_ONLY,False,8.0,ELEVATED_RISK_MID,60%,True,7.9,27.6,8,2728140,MN-010741
2125,Triton School District,Dodge County,Rural,889,FOUND_MED_POLICY_ONLY,False,10.0,ELEVATED_RISK_MID,60%,True,7.1,26.1,8,2740665,MN-012125
463,Eden Valley-Watkins School District,Meeker County,Rural,868,FOUND_MED_POLICY_ONLY,False,6.0,ELEVATED_RISK_MID,60%,True,7.8,29.1,8,2711190,MN-010463
2396,A.C.G.C. Public School District,Meeker County,Rural,893,FOUND_MED_POLICY_ONLY,False,12.0,ELEVATED_RISK_MID,60%,True,7.8,29.1,8,2700106,MN-012396
146,Barnesville Public School Dist.,Clay County,Rural,870,FOUND_MED_POLICY_ONLY,False,5.0,ELEVATED_RISK_MID,60%,True,7.2,27.4,8,2703660,MN-010146
139,Rush City Public School District,Chisago County,Rural,805,FOUND_MED_POLICY_ONLY,False,9.0,ELEVATED_RISK_MID,60%,True,7.0,28.4,8,2732550,MN-010139
195,Randolph Public School District,Dakota County,Rural,875,FOUND_MED_POLICY_ONLY,False,9.0,ELEVATED_RISK_MID,60%,True,7.1,25.8,8,2730150,MN-010195
213,Osakis Public School District,Douglas County,Rural,887,NOT_VERIFIABLE,False,6.0,ELEVATED_RISK_MID,60%,True,6.9,29.6,8,2725140,MN-010213
75,St. Clair Public School District,Blue Earth County,Rural,820,FOUND_MED_POLICY_ONLY,False,9.0,ELEVATED_RISK_MID,60%,True,7.9,28.8,8,2733480,MN-010075
881,Maple Lake Public School District,Wright County,Rural,744,FOUND_MED_POLICY_ONLY,False,10.0,ELEVATED_RISK_MID,60%,True,6.8,26.0,8,2718810,MN-010881
739,Kimball Public School District,Stearns County,Rural,759,FOUND_MED_POLICY_ONLY,False,5.0,ELEVATED_RISK_MID,60%,True,7.9,27.6,8,2717220,MN-010739
299,Caledonia Public School District,Houston County,Rural,693,FOUND_MED_POLICY_ONLY,False,14.0,ELEVATED_RISK_MID,60%,True,6.8,28.5,8,2707380,MN-010299
2172,Kenyon-Wanamingo School District,Goodhue County,Rural,644,FOUND_MED_POLICY_ONLY,False,9.0,ELEVATED_RISK_MID,60%,True,7.7,28.6,8,2717100,MN-012172
391,Cleveland Public School District,Le Sueur County,Rural,650,FOUND_MED_POLICY_ONLY,False,8.0,ELEVATED_RISK_MID,60%,True,7.7,27.0,8,2709330,MN-010391
203,Hayfield Public School District,Dodge County,Rural,621,FOUND_MED_POLICY_ONLY,False,5.0,ELEVATED_RISK_MID,60%,True,7.1,26.1,8,2713590,MN-010203
2908,Brandon-Evansville Public Schools,Douglas County,Rural,552,FOUND_MED_POLICY_ONLY,False,5.0,ELEVATED_RISK_MID,60%,True,6.9,29.6,8,2700382,MN-012908
820,Sebeka Public School District,Wadena County,Rural,451,FOUND_SEIZURE_SPECIFIC,True,3.0,HIGH_RISK_SMALL,83%,False,8.8,34.4,8,2732970,MN-010820
2311,Clearbrook-Gonvick School District,Clearwater County,Rural,460,FOUND_SEIZURE_SPECIFIC,True,7.0,HIGH_RISK_SMALL,83%,False,8.9,33.2,8,2700103,MN-012311
640,Wabasso Public School District,Redwood County,Rural,404,FOUND_SEIZURE_SPECIFIC,True,3.0,HIGH_RISK_SMALL,83%,False,8.5,31.7,8,2741430,MN-010640
499,Leroy-Ostrander Public Schools,Mower County,Rural,258,FOUND_SEIZURE_SPECIFIC,True,6.0,HIGH_RISK_SMALL,83%,False,10.6,30.9,8,2718060,MN-010499
656,Faribault,Rice County,Town,3106,FOUND_MED_POLICY_ONLY,False,87.0,LOW_RISK_LARGE,7%,False,8.7,28.1,7,2711760,MN-010656
2609,Win-E-Mac,Polk County,Rural,458,FOUND_SEIZURE_SPECIFIC,True,1.0,HIGH_RISK_SMALL,83%,False,8.3,29.7,7,2791449,MN-012609
690,Warroad,Roseau County,Rural,1041,FOUND_MED_POLICY_ONLY,False,9.0,LOW_RISK_LARGE,7%,False,7.8,30.7,7,2741850,MN-010690
1,Aitkin Public School District,Aitkin County,Rural,989,FOUND_MED_POLICY_ONLY,False,13.0,ELEVATED_RISK_MID,60%,True,7.4,34.7,9,2702760,MN-010001
30001,Minneapolis Public School District,Hennepin County,City,29928,FOUND_MED_POLICY_ONLY,False,1055.0,LOW_RISK_LARGE,7%,False,7.5,25.0,6,2721240,MN-030001
761,Owatonna Public School District,Steele County,Town,4890,FOUND_MED_POLICY_ONLY,False,83.0,LOW_RISK_LARGE,7%,False,8.2,28.2,7,2728050,MN-010761
659,Northfield Public School District,Rice County,Town,3849,FOUND_MED_POLICY_ONLY,False,56.0,LOW_RISK_LARGE,7%,False,8.7,28.1,7,2723880,MN-010659
413,Marshall Public School District,Lyon County,Town,2664,FOUND_MED_POLICY_ONLY,False,25.0,LOW_RISK_LARGE,7%,False,8.5,29.1,7,2718940,MN-010413
482,Little Falls Community Schools,Morrison County,Town,2424,FOUND_MED_POLICY_ONLY,False,26.0,LOW_RISK_LARGE,7%,False,7.7,30.1,7,2718240,MN-010482
701,Hibbing Public School District,St. Louis County,Town,2232,NOT_FOUND,False,15.0,LOW_RISK_LARGE,7%,False,6.8,30.8,7,2713980,MN-010701
700,Hermantown Community Schools,St. Louis County,Rural,2118,FOUND_MED_POLICY_ONLY,False,41.0,LOW_RISK_LARGE,7%,False,6.8,30.8,7,2713920,MN-010700
2142,St. Louis County School District,St. Louis County,Rural,1914,FOUND_MED_POLICY_ONLY,False,47.0,LOW_RISK_LARGE,7%,False,6.8,30.8,7,2700008,MN-012142
51,Foley Public School District,Benton County,Rural,1921,FOUND_MED_POLICY_ONLY,False,15.0,LOW_RISK_LARGE,7%,False,8.0,28.4,7,2712240,MN-010051
704,Proctor Public School District,St. Louis County,Suburb,1848,FOUND_MED_POLICY_ONLY,False,31.0,LOW_RISK_LARGE,7%,False,6.8,30.8,7,2730090,MN-010704
549,Perham-Dent Public Schools,Otter Tail County,Rural,1671,FOUND_MED_POLICY_ONLY,False,12.0,LOW_RISK_LARGE,7%,False,7.5,30.6,7,2728230,MN-010549
2859,Glencoe-Silver Lake School District,McLeod County,Town,1390,FOUND_MED_POLICY_ONLY,False,19.0,LOW_RISK_LARGE,7%,False,8.3,29.3,7,2700128,MN-012859
381,Lake Superior Public School Dist.,Lake County,Rural,1286,FOUND_MED_POLICY_ONLY,False,20.0,LOW_RISK_LARGE,7%,False,7.2,32.4,7,2740740,MN-010381
484,Pierz Public School District,Morrison County,Rural,1214,NOT_VERIFIABLE,False,13.0,LOW_RISK_LARGE,7%,False,7.7,30.1,7,2728320,MN-010484
593,Crookston Public School District,Polk County,Town,1140,FOUND_MED_POLICY_ONLY,False,17.0,LOW_RISK_LARGE,7%,False,8.3,29.7,7,2709720,MN-010593
682,Roseau Public School District,Roseau County,Rural,1101,NOT_FOUND,False,10.0,LOW_RISK_LARGE,7%,False,7.8,30.7,7,2732250,MN-010682
115,Cass Lake-Bena Public Schools,Cass County,Rural,1119,FOUND_MED_POLICY_ONLY,False,24.0,LOW_RISK_LARGE,7%,False,7.4,34.1,7,2708070,MN-010115
2895,Jackson County Central School Dist.,Jackson County,Rural,1093,FOUND_MED_POLICY_ONLY,False,19.0,LOW_RISK_LARGE,7%,False,7.7,30.5,7,2700231,MN-012895
2170,Staples-Motley School District,Todd County,Rural,901,FOUND_SEIZURE_SPECIFIC,True,11.0,ELEVATED_RISK_MID,60%,False,10.4,34.5,7,2733900,MN-012170
775,Kerkhoven-Murdock-Sunburg,Swift County,Rural,777,FOUND_SEIZURE_SPECIFIC,True,12.0,ELEVATED_RISK_MID,60%,False,9.1,33.9,7,2717120,MN-010775
2835,Janesville-Waldorf-Pemberton,Waseca County,Rural,629,FOUND_SEIZURE_SPECIFIC,True,14.0,ELEVATED_RISK_MID,60%,False,8.9,30.7,7,2791451,MN-012835
2190,Yellow Medicine East,Yellow Medicine County,Rural,605,FOUND_SEIZURE_SPECIFIC,True,13.0,ELEVATED_RISK_MID,60%,False,8.5,31.3,7,2700099,MN-012190
