molecule,year,prescriptions,total_reimbursed_usd,suppressed_rows
rescue_midazolam,2026,300,252670.73,0
rufinamide,2019,1131,3257165.33,0
rufinamide,2020,1338,4292220.29,2
rufinamide,2021,1238,3914792.67,29
rufinamide,2022,1069,1667874.65,40
rufinamide,2023,922,1086644.02,68
rufinamide,2024,665,540979.2,79
rufinamide,2025,810,393880.92,98
rufinamide,2026,206,65369.56,23
stiripentol,2019,0,0.0,10
stiripentol,2020,36,67717.98,12
stiripentol,2021,27,40687.38,11
stiripentol,2022,25,37680.75,10
stiripentol,2023,14,47830.81,17
stiripentol,2024,11,32261.61,20
stiripentol,2025,65,230964.94,22
stiripentol,2026,19,84817.16,5
tiagabine,2019,26,6314.76,50
tiagabine,2020,0,0.0,37
tiagabine,2021,0,0.0,27
tiagabine,2022,11,10287.01,39
tiagabine,2023,11,10256.29,29
tiagabine,2024,0,0.0,15
tiagabine,2025,0,0.0,17
tiagabine,2026,0,0.0,3
topiramate,2019,60908,835768.24,257
topiramate,2020,65200,1091316.26,247
topiramate,2021,67068,1080126.45,249
topiramate,2022,63295,1193722.06,299
topiramate,2023,62246,1170121.87,314
topiramate,2024,51562,1066611.15,280
topiramate,2025,50923,1148339.81,293
topiramate,2026,10646,181866.78,76
valproate,2019,47349,1813263.35,220
valproate,2020,51546,2234917.11,164
valproate,2021,50128,1929749.13,189
valproate,2022,50197,1853328.43,190
valproate,2023,50407,1976035.2,170
valproate,2024,43774,1463657.78,156
valproate,2025,48191,1750601.57,220
valproate,2026,9780,345415.47,62
vigabatrin,2019,152,1567843.35,36
vigabatrin,2020,175,1799955.33,40
vigabatrin,2021,193,3444871.67,40
vigabatrin,2022,166,2952522.14,35
vigabatrin,2023,218,3216236.2,28
vigabatrin,2024,223,2835457.95,32
vigabatrin,2025,330,4528947.34,36
vigabatrin,2026,72,928849.3,7
zonisamide,2019,7069,161410.23,32
zonisamide,2020,7457,207058.1,26
zonisamide,2021,7550,183126.38,30
zonisamide,2022,7829,221933.5,25
zonisamide,2023,7364,421981.26,54
zonisamide,2024,6051,649843.33,52
zonisamide,2025,6813,875761.44,59
zonisamide,2026,1582,215971.11,10
