rank,isd,district,county,locale,classification,confirmation_status,nurse_risk_tier,prob_no_nurse,school_year,total_enrollment,sped_count,ohd_count,ohd_share_of_enrollment_pct,suppression_flag
77,821,Menahga Public School District,Wadena County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",887,136,25,2.82,not_suppressed_in_source
78,1,Aitkin Public School District,Aitkin County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",934,209,24,2.57,not_suppressed_in_source
79,108,Central Public School District,Carver County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",1212,232,24,1.98,not_suppressed_in_source
80,463,Eden Valley-Watkins School District,Meeker County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",741,178,24,3.24,not_suppressed_in_source
81,345,New London-Spicer School District,Kandiyohi County,Town,NOT_VERIFIABLE,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1291,233,24,1.86,not_suppressed_in_source
82,553,New York Mills Public School Dist.,Otter Tail County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",694,166,24,3.46,not_suppressed_in_source
83,2310,Sibley East School District,Sibley County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1248,247,24,1.92,not_suppressed_in_source
84,716,Belle Plaine Public Schools,Scott County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1733,391,23,1.33,not_suppressed_in_source
85,813,Lake City Public School District,Wabasha County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1239,179,23,1.86,not_suppressed_in_source
86,2711,Mesabi East,St. Louis County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",771,164,23,2.98,not_suppressed_in_source
87,2908,Brandon-Evansville Public Schools,Douglas County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",621,141,22,3.54,not_suppressed_in_source
88,2159,Buffalo Lake-Hector-Stewart,Renville County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",519,127,22,4.24,not_suppressed_in_source
89,51,Foley Public School District,Benton County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1683,309,22,1.31,not_suppressed_in_source
90,2184,Luverne Public School District,Rock County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1113,218,22,1.98,not_suppressed_in_source
91,533,Dover-Eyota Public School District,Olmsted County,Rural,NOT_FOUND,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",738,116,21,2.85,not_suppressed_in_source
92,2754,Cedar Mountain School District,Redwood County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",325,83,20,6.15,not_suppressed_in_source
93,2397,Le Sueur-Henderson School District,Le Sueur County,Rural,FOUND_MED_POLICY_ONLY,,ZERO_SUPPORT_STAFF,95%,"2025-26 (Dec 1, 2025 count)",1125,213,20,1.78,not_suppressed_in_source
94,881,Maple Lake Public School District,Wright County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",860,187,20,2.33,not_suppressed_in_source
